lineID	SPEAKER		BADLY TRANSLATED	
				
6229	objAngel		{angel}Thank you ...	
6230	objAngel		he is| {shake}{anim sprAngel_happy}the|| driver{/shake}	
6231	objAngel		I apologize for the inconvenience	
6232	objAngel		We should strive to be brave	
6233	objAngel		UNGU	
6234	objBard		{}car!	
6235	objBard		who are you	
6236	objAngel		{angel}God's messenger	
6237	objAngel		His inspirational songs will last a lifetime.	
6238	objAngel		The truth will soon come out.	
6239	objAngel		you've done enough	
6240	objAngel		I want the world to be a new world.	
6241	objAngel		do not worry too much	
6242	objAngel		Your world is too old	
6244	objAngel		Do not want to start now?	
6246	objAngel		... This ...	
6247	objAngel		current price	
6248	objAngel		thank you	
6249	objAngel		Sorry, your world is gone.	
				
7821	objMask		heals of the sons of God	
7822	objMask		I went to bed last night	
7823	objBard		I can not remember!	
7825	objMask		Easy to use ...	
7826	objMask		Yes, just calm down	
7827	objMask		Bongo ...	
7829	objMask		The birds are singing...	
7830	objMask		WHAT DO YOU THINK?	
7839	objMask		The last	
7840	objBard		... Really?	
7841	objMask		Many wind races in the city.	
7842	objMask		Everyone laughed in secret.	
7843	objMask		How	
7844	objMask		You can go if you remember ...	
7845	objMask		It can reveal secrets	
7846	objMask_meet		Her name is Hula	
7847	objBard		I do not want to thank you!	
7848	objBard		Oh God!	
7849	objMask		I understand	
7850	objMask		Do you want to dig a hole?	
7851	objMask		You want to know when it's ready.	
7852	objMask		World Health Organization ...	
7853	objMask		I was stupid ...	
7854	objMask		But hey!	
7855	objMask		This paved the way for DANCE.	
7856	objMask		Something special in your heart ...	
7857	objMask		This command is called a list.	
7858	objMask		I hope you visit here.	
7859	objMask		reliable.	
7860	objMask		I want to freshen up my eyes	
7861	objMask		I believe your name	
7862	objMask		DualShock Editor Am ^ 4	
7863	objMask		come by name "{data_controllername}"	
7864	objMask		... Rajta?	
7865	objMask		-one	
7866	objMask		he must play {data_dancebutton}	
7867	objMask		Slightly ... {data_controllername}	
7868	objMask		Football is called football. {data_dancebutton}	
7869	objMask		Press the button, you idiots!	
7870	objMask		I want to freshen up my eyes	
7871	objMask		Think of it as "id".	
7872	objMask		... Rajta?	
7873	objMask		Next ...	
7874	objMask		See categories. {data_dancebutton}	
7875	objMask		The key is the key	
7876	objMask		Check out the song he sings with you ...	
7877	objMask		Up	
7878	objMask		Winning ...	
7879	objMask		I'm not very happy.	
7880	objMask		I think you can live in your grave.	
7881	objMask		Come and see ...	
7882	objMask		Bongo ...	
7883	objMask		will also be	
				
7901	objMask		this is a victory	
7902	objMask		you know the place	
7903	objMask		It is called the tree of dreams	
7904	objMask		Nice place ...	
7905	objMask		Because you ...	
7906	objMask		{wiggle}{shake}{speed .2}The wall{/shake}	
7907	objMask		{wiggle}{shake}{speed .2}The wall{/shake}	
				
7522	objMask		heals of the sons of God	
7523	objMask		NO CHANGE.	
7524	objMask		But here's the song.	
7525	objMask		writing	
7526	objMask		Did you find the graves?	
7527	objMask		I want to get rid of this dark feeling ...	
7528	objMask		Transport	
7529	objMask		I saw something here ...	
7530	objMask		I have to show you something	
7531	objMask		Video clip	
7532	objMask		You know ...	
7533	objMask		About {shake}games ...{/shake}	
7534	objMask		I have to show you how to do it	
7535	objMask		I can not wait	
7536	objMask		I want to open a tunnel where I am ...	
7537	objMask		This is your country because you love the game.	
7538	objMask		Let us reach this goal.	
7539	objMask		We are looking forward to meeting you...	
7540	objMask		Introducing a new dance floor.	
7541	objMask		Bad...	
7542	objMask		Now is the time for action.	
7543	objMask		Do you know bad people?	
7544	objMask		Let us reach this goal.	
7545	objMask		I was thinking of something ...	
7546	objMask		He hides inside ... under the skin.	
7547	objMask		This dance is different from any other dance.	
7548	objMask		Akakalali.	
7549	objMask		According to me	
7550	objMask		It's ... the wind.	
7551	objMask		Tell us what you want ...	
7552	objMask		He told us it was time to act.	
7553	objMask		The traveler ate quietly	
7554	objMask		Let's dance together.	
7555	objMask		My dear...	
7556	objMask		Please see here	
7557	objMask		Our hearts beat fast ...	
7558	objMask		When we die, we refuse to participate.	
7559	objMask		What else can I say?	
7560	objMask		I had something new	
7561	objMask		I...	
7562	objMask		I can hear you playing with me ...	
7563	objMask		Palace...	
7564	objMask		Transformation	
7565	objMask		I did the same, remember.	
7566	objMask		bold dance	
7567	objMask		That is completely correct	
7568	objMask		See our work ...	
7569	objMask		you have a problem	
7570	objMask		Hard...	
7571	objMask		Your strength is in the dance	
7572	objMask		Updates are in progress.	
7573	objMask		Buy more and follow your foundation.	
7574	objMask		Nice to be with you on this trip.	
7575	objMask		last house	
7576	objMask		Let's dig deeper	
7577	objMask		in the bag	
7578	objMask		Fried meat	
7579	objMask		{shake}hot paper{/shake}	
7580	objMask		Transformation	
				
7581	objMask		I need help	
7582	objMask		Transport	
7583	objMask		You are already ...	
7584	objMask		lomdanso	
7585	objMask		I no longer like to talk	
7586	objMask		So you need to ask yourself a few questions.	
7587	objMask		But it is possible.	
7588	objMask		Do not forget to play!	
7589	objMask		Click deeper ...	
7590	objMask		You will receive a special gift.	
7591	objMask		But it was old ...	
7592	objMask		How to play?	
7593	objMask		I hope to see you	
7594	objMask		Because our game is complex	
7595	objMask_meet		Do you want to learn to play?	
7596	objBard		I do not want to thank you	
7597	objBard		YOUNG!	
7598	objMask		eats the air	
7599	objMask		Show the world your inner dancer	
7600	objMask_meet		If you do not like it, teach me to play.	
7601	objBard		plum	
7602	objBard		Use an instant message.	
				
7603	objMask		World Health Organization ...	
7604	objMask		I was stupid ...	
7605	objMask		But hey!	
7606	objMask		This paved the way for DANCE.	
7607	objMask		Something special in your heart ...	
7608	objMask		This command is called a list.	
7609	objMask		I hope you visit here.	
				
7610	objMask		reliable.	
7611	objMask		I want to freshen up my eyes	
7612	objMask		I believe your name	
7613	objMask		DualShock Editor Am ^ 4	
7614	objMask		Imagine being called "cows".	
7615	objMask		{/font}... Rajta?	
7616	objMask		-one	
7617	objMask		{/font}he must play "{data_dancebutton}"	
7618	objMask		"Leader" does not speak ...	
7619	objMask		The choir is called "small". {data_dancebutton}	
7620	objMask		when I dance	
7621	objMask		The dance steps change {data_triggerbuttons}	
7622	objMask		I want to freshen up my eyes	
7623	objMask		Think of it as "id".	
7624	objMask		... Rajta?	
7625	objMask		Next ...	
7626	objMask		See categories. {data_dancebutton}	
7627	objMask		when I dance	
7628	objMask		Uses programs E, R, X or C.	
7629	objMask		I can sing	
7630	objMask		The choir acts as leader.	
7631	objMask		Do not be afraid to stand in the middle.	
				
7632	objMask		reliable.	
7633	objMask		I have this information	
				
7886	objMask		heals of the sons of God	
7887	objMask		Do you like to stay here?	
7888	objBard		Help me!	
7889	objMask		Are you ready to sing in the city?	
7890	objBard		I understand	
7891	objMask		land area	
7892	objMask		I hope to see you	
7893	objMask		World Health Organization ...	
7894	objMask		I like the smell of wood.	
7895	objMask		try it ...	
7896	objMask		This is the most powerful thing you can do.	
7897	objMask		I do not know if it's fun in town.	
7898	objMask		Where's my favorite boss?	
7899	objMask		It sounds good. You need freedom right now.	
7900	objMask		Where are they going?	
				
7808	objMask		Today's new groove	
7809	objMask		The road is simple.	
				
7810	objMask_meet		I would like to join	
7811	objBard		Number.	
7812	objBard		Welcome	
7813	objMask		to convince you	
7814	objMask		I'm at sea	
7815	objMask		It's not good to lose ...	
7816	objMask		Because I do not know where I am	
7817	objMask		This is a private island ...	
7818	objMask		Um ... okay, I do not want to say much.	
7819	objMask		you know yourself better	
7820	objMask		to convince you	
				
7798	objMask		I'm at sea	
7799	objMask		See the island ...	
7800	objMask		It's not good to lose ...	
7801	objMask		Because I do not know where I am	
7804	objMask		This is a private island ...	
7805	objMask		Um ... okay, I do not want to say much.	
7806	objMask		you know yourself better	
7807	objMask		At least ...	
				
7763	objMask		from	
7764	objMask		Last meeting ...	
7765	objBard		What are you doing here?	
7766	objMask		...	
7767	objMask		I do not know ...	
7770	objMask		Hi...	
7771	objMask		in severe weather	
7772	objMask		But relax	
7773	objMask		Hi, you understand that	
7774	objMask		Do not	
7775	objMask		Cold weather	
7776	objMask		he is very sad	
7777	objBard		they were banished	
7778	objMask		Another time.	
7779	objMask		Sometimes fans ...	
7780	objMask		sometimes forever	
7781	objMask		I'm not sure about this	
7782	objMask		But it's hard to be happy about something that happens so fast.	
7783	objMask		When we share ...	
7784	objMask		I hope you will find peace when we meet again.	
